Date,SPY,EFA,IEF,VNQ,DBC
2006-02-01,88.38851165771484,35.0587272644043,48.76449966430664,27.591352462768555,
2006-02-02,87.36274719238281,34.6639404296875,48.76449966430664,27.398387908935547,
2006-02-03,86.92901611328125,34.574974060058594,48.91175079345703,27.158288955688477,
2006-02-06,87.1562271118164,34.52491760253906,48.841033935546875,27.261186599731445,19.18509864807129
2006-02-07,86.38514709472656,34.26914978027344,48.78215408325195,27.046812057495117,18.630155563354492
2006-02-08,87.17000579833984,34.3914794921875,48.75269317626953,26.92674446105957,18.550878524780273
2006-02-09,87.02540588378906,34.45819091796875,48.799800872802734,27.055387496948242,18.725290298461914
2006-02-10,87.1837387084961,34.38036346435547,48.65846633911133,27.081119537353516,18.384397506713867
2006-02-13,87.02540588378906,34.14125442504883,48.65846633911133,27.11969757080078,18.098997116088867
2006-02-14,87.94790649414062,34.519371032714844,48.5877685546875,27.269775390625,17.948375701904297
2006-02-15,88.2577133178711,34.20796585083008,48.676143646240234,27.509870529174805,17.68675422668457
2006-02-16,88.9186019897461,34.53604507446289,48.6525764465332,27.694244384765625,17.900808334350586
2006-02-17,88.67765808105469,34.43595504760742,48.81747817993164,27.990093231201172,18.15449333190918
2006-02-21,88.45736694335938,34.44152069091797,48.75859069824219,27.955793380737305,18.455747604370117
2006-02-22,88.99432373046875,34.70286560058594,48.941219329833984,28.268814086914062,18.15449333190918
2006-02-23,88.86354064941406,34.791831970214844,48.82339859008789,28.221643447875977,18.0910701751709
2006-02-24,89.0907211303711,34.908592224121094,48.76449966430664,28.071577072143555,18.58259391784668
2006-02-27,89.12517547607422,35.03093338012695,48.67023849487305,28.075855255126953,18.217912673950195
2006-02-28,88.27835083007812,34.70842361450195,48.8646354675293,27.97294807434082,18.46367835998535
2006-03-01,89.06316375732422,35.064300537109375,48.768310546875,28.135879516601562,18.424036026000977
2006-03-02,89.05631256103516,34.99756622314453,48.57330322265625,28.101581573486328,18.757001876831055
2006-03-03,88.6432113647461,34.85299301147461,48.455116271972656,27.947221755981445,18.931411743164062
2006-03-06,88.23706817626953,34.71954345703125,48.301544189453125,28.453163146972656,18.630155563354492
2006-03-07,88.099365234375,34.29695510864258,48.325172424316406,28.11015510559082,18.305118560791016
2006-03-08,88.28526306152344,34.413719177246094,48.348777770996094,28.25592803955078,18.01179313659668
2006-03-09,87.69314575195312,34.37478256225586,48.39607620239258,28.48747444152832,18.19413185119629
2006-03-10,88.52621459960938,34.89748001098633,48.301544189453125,28.744749069213867,18.11485481262207
2006-03-13,88.69141387939453,35.18661880493164,48.26016616821289,28.556076049804688,18.352684020996094
2006-03-14,89.62084197998047,35.559173583984375,48.537899017333984,28.761882781982422,18.622230529785156
2006-03-15,90.0201187133789,35.68706130981445,48.4492301940918,29.306427001953125,18.416105270385742
2006-03-16,90.20600128173828,35.803836822509766,48.756473541259766,29.610841751098633,18.574663162231445
2006-03-17,90.28131866455078,35.9762077331543,48.656028747558594,29.876684188842773,18.487459182739258
2006-03-20,90.13617706298828,36.048500061035156,48.75056076049805,29.373828887939453,18.1069278717041
2006-03-21,89.56942749023438,35.67595291137695,48.54967498779297,29.033123016357422,18.17034912109375
2006-03-22,90.11542510986328,36.00957107543945,48.60877990722656,29.097820281982422,18.13863754272461
2006-03-23,89.9288558959961,35.57585525512695,48.48470687866211,29.175437927246094,18.44782066345215
2006-03-24,89.99794006347656,35.85943603515625,48.6973876953125,29.132328033447266,18.40818214416504
2006-03-27,89.86661529541016,35.79826736450195,48.591068267822266,28.795913696289062,18.519168853759766
2006-03-28,89.31367492675781,35.453521728515625,48.354679107666016,29.115076065063477,18.757001876831055
2006-03-29,89.87356567382812,35.92060089111328,48.30741882324219,29.65846824645996,18.88384437561035
2006-03-30,89.71459197998047,36.35431671142578,48.1656494140625,29.231504440307617,19.11374855041504
2006-03-31,89.73529052734375,36.09853744506836,48.20110321044922,29.291889190673828,18.978975296020508
2006-04-03,89.66615295410156,36.49332809448242,48.14775848388672,28.78728675842285,19.066184997558594
2006-04-04,90.23983001708984,36.78247833251953,48.153656005859375,28.588909149169922,18.96312141418457
2006-04-05,90.5509033203125,36.90481185913086,48.266292572021484,28.744165420532227,19.0820369720459
2006-04-06,90.45410919189453,36.93816375732422,48.12997055053711,28.627727508544922,19.422927856445312
2006-04-07,89.53483581542969,36.51558303833008,47.910675048828125,28.196460723876953,19.335721969604492
2006-04-10,89.67308044433594,36.58229446411133,47.96990966796875,27.929067611694336,19.692474365234375
2006-04-11,88.91278076171875,36.33763122558594,48.058815002441406,27.86005973815918,19.77174949645996
2006-04-12,89.07868194580078,36.159698486328125,47.94620895385742,27.86005973815918,19.732112884521484
2006-04-13,88.9611587524414,36.25422668457031,47.69136428833008,27.493497848510742,19.85895538330078
2006-04-17,88.92662048339844,36.421051025390625,47.875091552734375,27.415864944458008,20.0730037689209
