date,return,n_invested
2010-10-31,0.01656208816626121,5
2010-11-30,-0.013504019033152802,5
2010-12-31,0.012300187016416423,5
2011-01-31,0.011279887633644707,5
2011-02-28,0.01936155571273978,5
2011-03-31,-0.0062944956954357366,5
2011-04-30,0.02781583354571352,5
2011-05-31,0.004009751192977434,5
2011-06-30,-0.010186351262526372,5
2011-07-31,0.011158082721710406,5
2011-08-31,-0.016562355064435777,5
2011-09-30,-0.053016964774533874,5
2011-10-31,0.0357076339742455,5
2011-11-30,0.0010782067627967983,5
2011-12-31,0.013116890328267544,5
2012-01-31,0.024768596521271224,5
2012-02-29,0.014641073420404306,5
2012-03-31,-0.005258171072475372,5
2012-04-30,0.007774987933207131,5
2012-05-31,-0.03528554991320609,5
2012-06-30,0.02137291062699782,5
2012-07-31,0.025016747593902374,5
2012-08-31,0.016846575104144158,5
2012-09-30,0.0011503885906230518,5
2012-10-31,-0.0065086770993836515,5
2012-11-30,0.008983566145932247,5
2012-12-31,-0.0024546974546341502,5
2013-01-31,0.03726147743781549,5
2013-02-28,0.007578241467347583,5
2013-03-31,0.009882207526852498,5
2013-04-30,-0.0035765095304745626,5
2013-05-31,-0.016781261202395144,5
2013-06-30,-0.023864455949538132,5
2013-07-31,0.011730396924326019,5
2013-08-31,-0.0007460142281345459,5
2013-09-30,0.01784544564671698,5
2013-10-31,0.029739702257791392,5
2013-11-30,-0.006142985762330848,5
2013-12-31,0.011979351479413562,5
2014-01-31,0.0045610519377520965,5
2014-02-28,0.04955711990239317,5
2014-03-31,0.0029496445588050742,5
2014-04-30,0.018033805123091173,5
2014-05-31,0.011502289552922906,5
2014-06-30,0.016686524154830303,5
2014-07-31,-0.016928650770277723,5
2014-08-31,0.021816278279676814,5
2014-09-30,-0.044201800532192116,5
2014-10-31,0.016058877219944544,5
2014-11-30,0.013440296055800981,5
2014-12-31,-0.012377025181300681,5
2015-01-31,0.001003052401295174,5
2015-02-28,0.032084661707355105,5
2015-03-31,-0.014640094085805487,5
2015-04-30,0.020099924198451125,5
2015-05-31,0.004603887510843626,5
2015-06-30,-0.019754350203136248,5
2015-07-31,0.031200302772195956,5
2015-08-31,-0.04709455153178165,5
2015-09-30,-0.01936447612546813,5
2015-10-31,0.026498078711825843,5
2015-11-30,-0.005008640366065172,5
2015-12-31,-0.008312575009155724,5
2016-01-31,0.0003598412881090998,5
2016-02-29,0.002792342268891512,5
2016-03-31,0.025324322602619655,5
2016-04-30,0.01253171134190698,5
2016-05-31,0.0033924380541722884,5
2016-06-30,0.01297739339044021,5
2016-07-31,0.027869155550198872,5
2016-08-31,-0.010277929835140878,5
2016-09-30,0.003223953028902639,5
2016-10-31,-0.02007215289598502,5
2016-11-30,0.004030839055206581,5
2016-12-31,0.01748425314391163,5
2017-01-31,0.007446433326690117,5
2017-02-28,0.014385081487899212,5
2017-03-31,-0.012361438291975758,5
2017-04-30,-0.0019686480217375396,5
2017-05-31,-0.0033969784352097672,5
2017-06-30,0.0021918584225311764,5
2017-07-31,0.015005057281720096,5
2017-08-31,0.0030696864508646857,5
2017-09-30,0.005947919581873018,5
2017-10-31,0.01245484134322196,5
2017-11-30,0.0032947843289152052,5
2017-12-31,0.007345093093401379,5
2018-01-31,-0.005033421905474974,5
2018-02-28,-0.05308235638064471,5
2018-03-31,0.019454224909541157,5
2018-04-30,0.020517025494169255,5
2018-05-31,0.015644641434836577,5
2018-06-30,0.014899346289115411,5
2018-07-31,0.00909723940037777,5
2018-08-31,0.00560489935309376,5
2018-09-30,-0.005018389306631014,5
2018-10-31,-0.06478882495245311,5
2018-11-30,-0.008543885704856768,5
2018-12-31,-0.06009087168946673,5
2019-01-31,0.07872725020345847,5
2019-02-28,0.023800690667762567,5
2019-03-31,0.01954537436515744,5
2019-04-30,0.026752735931247197,5
2019-05-31,-0.0527567566683109,5
2019-06-30,0.05046260203099003,5
2019-07-31,-0.0067741465210996435,5
2019-08-31,-0.013871440199146276,5
2019-09-30,0.01429328803364257,5
2019-10-31,0.008702650148707497,5
2019-11-30,-0.002827756959179088,5
2019-12-31,0.008672160951880144,5
2020-01-31,0.015255537257208057,5
2020-02-29,-0.020151752706183995,5
2020-03-31,-0.11138688618035654,5
2020-04-30,0.08967120401622572,5
2020-05-31,0.01780286984549114,5
2020-06-30,0.012624423134431335,5
2020-07-31,0.02513407299293463,5
2020-08-31,0.005909265610209414,5
2020-09-30,-0.0018036904860329176,5
2020-10-31,-0.019103032899447134,5
2020-11-30,0.05607477139470943,5
2020-12-31,0.014121377544264629,5
2021-01-31,-0.004900883151393999,5
2021-02-28,0.004095831230103804,5
2021-03-31,-0.007695999350783958,5
2021-04-30,0.02471134714073263,5
2021-05-31,0.008545534363085843,5
2021-06-30,0.01349337179336297,5
2021-07-31,0.020851715253921085,5
2021-08-31,0.0029656151717351196,5
2021-09-30,-0.02348692630281439,5
2021-10-31,0.05649019097724451,5
2021-11-30,-0.028675716874774354,5
2021-12-31,0.04014846277055929,5
2022-01-31,-0.028043728377001465,5
2022-02-28,-0.00819687264463013,5
2022-03-31,0.02776329487446663,5
2022-04-30,-0.05820868604886318,5
2022-05-31,-0.0036272596752404576,5
2022-06-30,-0.04528956294260245,5
2022-07-31,0.05599805243059179,5
2022-08-31,-0.04824719239347984,5
2022-09-30,-0.08315572606156328,5
2022-10-31,0.035889437310498686,5
2022-11-30,0.06394349289357285,5
2022-12-31,-0.02427943698561958,5
2023-01-31,0.05619886846309765,5
2023-02-28,-0.03419189813891642,5
2023-03-31,0.028389053192584515,5
2023-04-30,0.013346249959141621,5
2023-05-31,-0.017468786616321973,5
2023-06-30,0.020767396246826657,5
2023-07-31,0.015300101527011565,5
2023-08-31,-0.017465060302447166,5
2023-09-30,-0.03738076446785632,5
2023-10-31,-0.0203866706402434,5
2023-11-30,0.03905212574687939,5
2023-12-31,0.012075286803437578,5
2024-01-31,-0.00731012767315616,5
2024-02-29,0.001956484047072364,5
2024-03-31,0.03307698234924942,5
2024-04-30,-0.027934857559137518,5
2024-05-31,0.025099904443607858,5
2024-06-30,0.0022585681040248762,5
2024-07-31,0.02181178070297958,5
2024-08-31,0.014493984966037151,5
2024-09-30,0.01524466250262272,5
