date,return,n_invested
2010-09-30,0.008610469846508017,2
2010-10-31,0.03299850996342461,5
2010-11-30,-0.016020481062011552,5
2010-12-31,0.05201090283842254,5
2011-01-31,0.022291987021261665,4
2011-02-28,0.03182143439401956,4
2011-03-31,-0.0026408660580741405,4
2011-04-30,0.0376586547225758,4
2011-05-31,-0.014243713565571458,4
2011-06-30,-0.02213197268364451,5
2011-07-31,0.009826935561562288,5
2011-08-31,-0.031233322963580883,5
2011-09-30,-0.025364888684956063,2
2011-10-31,-0.00275975982155716,1
2011-11-30,-0.006637649651641874,2
2011-12-31,0.0037820292787180032,1
2012-01-31,0.014297861548579961,2
2012-02-29,0.004009666148869244,3
2012-03-31,0.010545270575272481,5
2012-04-30,0.002539540347738601,5
2012-05-31,-0.059888075983692154,5
2012-06-30,0.01795169195118316,3
2012-07-31,0.00920573661803528,3
2012-08-31,0.004779178481893401,3
2012-09-30,0.004909750375344248,5
2012-10-31,-0.011869656030369803,5
2012-11-30,0.0079389821003801,4
2012-12-31,0.01363621454821682,5
2013-01-31,0.027553511757124217,5
2013-02-28,-0.007190227875768128,4
2013-03-31,0.01577932043321875,3
2013-04-30,0.03020961602250858,4
2013-05-31,-0.0194748293723672,4
2013-06-30,-0.012172041222821981,3
2013-07-31,0.02279900495192005,3
2013-08-31,-0.023855857741139987,3
2013-09-30,0.021789101575670423,2
2013-10-31,0.01580670396096983,2
2013-11-30,-0.0036582429495481497,3
2013-12-31,0.009372598696217309,2
2014-01-31,-0.017431950543805884,2
2014-02-28,0.03181940600537696,4
2014-03-31,0.00033572979190068543,5
2014-04-30,0.015031086890027589,5
2014-05-31,0.013403797975385977,5
2014-06-30,0.012031168158836383,5
2014-07-31,-0.017655980150330784,5
2014-08-31,0.017906727040405936,4
2014-09-30,-0.02470089399427526,4
2014-10-31,0.027463949567944092,3
2014-11-30,0.012078948438798821,3
2014-12-31,0.0035694942706513645,3
2015-01-31,0.01639234846207003,3
2015-02-28,-0.0010443541792292557,3
2015-03-31,-0.0010172717963060514,4
2015-04-30,-0.003697618143745561,4
2015-05-31,0.0015282517061870674,4
2015-06-30,-0.013754196881754723,3
2015-07-31,0.008396481374484267,2
2015-08-31,-0.027058824569807745,3
2015-09-30,-0.0005833333333333334,0
2015-10-31,-0.0014604004702541958,1
2015-11-30,-0.0017359852927084148,3
2015-12-31,-0.0006240440611584041,3
2016-01-31,-0.01690058621274269,2
2016-02-29,0.0019996257824441317,2
2016-03-31,0.020943594100381605,2
2016-04-30,-0.004348830313078947,3
2016-05-31,0.009329069560791109,4
2016-06-30,0.024390133721196874,5
2016-07-31,0.0022217924293759976,4
2016-08-31,-0.006902808839808183,5
2016-09-30,0.008111919370168285,5
