date,SPY_close,SPY_high,SPY_low,SPY_open,SPY_volume,SPY_bollinger_bands,SPY_macd,SPY_rsi,SPY_sma,SPY_dist_from_sma,SPY_dist_from_10m_sma,SPY_above_10m_sma,EFA_close,EFA_high,EFA_low,EFA_open,EFA_volume,EFA_bollinger_bands,EFA_macd,EFA_rsi,EFA_sma,EFA_dist_from_sma,EFA_dist_from_10m_sma,EFA_above_10m_sma,IEF_close,IEF_high,IEF_low,IEF_open,IEF_volume,IEF_bollinger_bands,IEF_macd,IEF_rsi,IEF_sma,IEF_dist_from_sma,IEF_dist_from_10m_sma,IEF_above_10m_sma,VNQ_close,VNQ_high,VNQ_low,VNQ_open,VNQ_volume,VNQ_bollinger_bands,VNQ_macd,VNQ_rsi,VNQ_sma,VNQ_dist_from_sma,VNQ_dist_from_10m_sma,VNQ_above_10m_sma,DBC_close,DBC_high,DBC_low,DBC_open,DBC_volume,DBC_bollinger_bands,DBC_macd,DBC_rsi,DBC_sma,DBC_dist_from_sma,DBC_dist_from_10m_sma,DBC_above_10m_sma,FEDFUNDS,CPIAUCSL,T10Y2Y,INDPRO,TB3MS
2007-09-30,108.38333129882812,108.38333129882812,108.38333129882812,108.38333129882812,1.0,"{'upper': 111.09164557911396, 'middle': 97.26631240844726, 'lower': 83.44097923778057}",,75.09151616656143,97.26631240844726,0.11429464750033413,0.04891731152667389,1,46.89377212524414,46.89377212524414,46.89377212524414,46.89377212524414,1.0,"{'upper': 48.426661733857514, 'middle': 40.74285659790039, 'lower': 33.05905146194327}",,82.83423450591886,40.74285659790039,0.15096917695409529,0.06047774445519183,1,52.9764289855957,52.9764289855957,52.9764289855957,52.9764289855957,1.0,"{'upper': 53.34006228737259, 'middle': 50.2560489654541, 'lower': 47.17203564353561}",,72.06707323075685,50.2560489654541,0.05413039974574185,0.03046631171808256,1,32.98918533325195,32.98918533325195,32.98918533325195,32.98918533325195,1.0,"{'upper': 38.465243322295514, 'middle': 32.31625986099243, 'lower': 26.167276399689346}",,59.080648022719764,32.31625986099243,0.02082312356547744,-0.0375955049981439,0,22.83055305480957,22.83055305480957,22.83055305480957,22.83055305480957,1.0,"{'upper': 22.12198248204437, 'middle': 20.241358852386476, 'lower': 18.360735222728582}",,72.02667329611839,20.241358852386476,0.12791602684904846,0.09834717619733024,1,4.94,208.292,0.62,114.357,3.89
2007-10-31,109.85365295410156,109.85365295410156,109.85365295410156,109.85365295410156,1.0,"{'upper': 112.55832900427468, 'middle': 98.34507598876954, 'lower': 84.13182297326439}",,76.35366006428396,98.34507598876954,0.11702240147382925,0.05239750768966189,1,48.8867073059082,48.8867073059082,48.8867073059082,48.8867073059082,1.0,"{'upper': 49.38979329479962, 'middle': 41.45177097320557, 'lower': 33.51374865161152}",,85.17249970104271,41.45177097320557,0.17936353883428957,0.08756055311610655,1,53.547035217285156,53.547035217285156,53.547035217285156,53.547035217285156,1.0,"{'upper': 53.81745013763294, 'middle': 50.49016914367676, 'lower': 47.16288814972058}",,74.20992035681016,50.49016914367676,0.06054378754227696,0.03543073556092491,1,33.681644439697266,33.681644439697266,33.681644439697266,33.681644439697266,1.0,"{'upper': 38.43985352357408, 'middle': 32.60169429779053, 'lower': 26.76353507200698}",,60.60315166088042,32.60169429779053,0.03312558335288496,-0.014908254622485684,0,24.771678924560547,24.771678924560547,24.771678924560547,24.771678924560547,1.0,"{'upper': 23.128055191221613, 'middle': 20.556759071350097, 'lower': 17.98546295147858}",,77.71299940768924,20.556759071350097,0.20503815015688787,0.1647890184277374,1,4.76,208.903,0.54,113.9957,3.9
2007-11-30,105.59884643554688,105.59884643554688,105.59884643554688,105.59884643554688,1.0,"{'upper': 113.10957481188046, 'middle': 99.13825340270996, 'lower': 85.16693199353946}",,65.94084339848446,99.13825340270996,0.06516750912075597,0.007000236867159337,1,47.115196228027344,47.115196228027344,47.115196228027344,47.115196228027344,1.0,"{'upper': 49.907159051404605, 'middle': 42.002603721618655, 'lower': 34.098048391832705}",,75.34745449895539,42.002603721618655,0.12172084712399034,0.03670552861194687,1,55.71435546875,55.71435546875,55.71435546875,55.71435546875,1.0,"{'upper': 54.728051078045716, 'middle': 50.86583404541015, 'lower': 47.00361701277459}",,80.3697838703314,50.86583404541015,0.09531980580543231,0.06617516598561402,1,30.49168586730957,30.49168586730957,30.49168586730957,30.49168586730957,1.0,"{'upper': 38.386121400510895, 'middle': 32.661683559417725, 'lower': 26.937245718324554}",,51.15965567740739,32.661683559417725,-0.06643863560065788,-0.08932714663428964,0,24.61736297607422,24.61736297607422,24.61736297607422,24.61736297607422,1.0,"{'upper': 23.85421684061272, 'middle': 20.83867826461792, 'lower': 17.823139688623115}",,76.38367796548532,20.83867826461792,0.18133034463477204,0.13025319828430026,1,4.49,210.565,0.93,113.9019,3.27
2007-12-31,104.40972900390625,104.40972900390625,104.40972900390625,104.40972900390625,1.0,"{'upper': 113.42578115508756, 'middle': 99.81529922485352, 'lower': 86.20481729461947}",,63.340967214352766,99.81529922485352,0.046029314290817025,-0.009622498722188455,0,45.7105712890625,45.7105712890625,45.7105712890625,45.7105712890625,1.0,"{'upper': 50.21496908366323, 'middle': 42.3967399597168, 'lower': 34.578510835770366}",,68.59121770236166,42.3967399597168,0.07816240900820048,-0.0021254509910874075,0,55.74256896972656,55.74256896972656,55.74256896972656,55.74256896972656,1.0,"{'upper': 55.41702720106597, 'middle': 51.258022689819335, 'lower': 47.0990181785727}",,80.43529427783378,51.258022689819335,0.08748964639242574,0.05778822712797127,1,28.841176986694336,28.841176986694336,28.841176986694336,28.841176986694336,1.0,"{'upper': 38.33457882174632, 'middle': 32.68896007537842, 'lower': 27.043341329010513}",,47.07248978546939,32.68896007537842,-0.11770894760222927,-0.1182804200987928,0,26.26776885986328,26.26776885986328,26.26776885986328,26.26776885986328,1.0,"{'upper': 24.954627030203056, 'middle': 21.136524868011474, 'lower': 17.31842270581989}",,80.27066745220459,21.136524868011474,0.2427666810837743,0.17478431569314923,1,4.24,211.16,0.99,113.9673,3.0
2008-01-31,98.09696197509766,98.09696197509766,98.09696197509766,98.09696197509766,1.0,"{'upper': 112.86512141749013, 'middle': 100.31355895996094, 'lower': 87.76199650243176}",,51.689509157256474,100.31355895996094,-0.022096683716984034,-0.06785415045126386,0,42.12361145019531,42.12361145019531,42.12361145019531,42.12361145019531,1.0,"{'upper': 50.00329895580556, 'middle': 42.683814430236815, 'lower': 35.36432990466807}",,55.02278540486067,42.683814430236815,-0.013124482605862409,-0.07801703090502854,0,57.613224029541016,57.613224029541016,57.613224029541016,57.613224029541016,1.0,"{'upper': 56.44685273304432, 'middle': 51.7463041305542, 'lower': 47.045755528064085}",,84.20022884082385,51.7463041305542,0.1133785300721144,0.08026610306619264,1,28.615921020507812,28.615921020507812,28.615921020507812,28.615921020507812,1.0,"{'upper': 38.2076604049571, 'middle': 32.74314107894897, 'lower': 27.278621752940843}",,46.52618473695525,32.74314107894897,-0.12604838517140948,-0.10550228175265342,0,27.033496856689453,27.033496856689453,27.033496856689453,27.033496856689453,1.0,"{'upper': 26.04896290848536, 'middle': 21.47662181854248, 'lower': 16.9042807285996}",,81.7698668233395,21.47662181854248,0.2587406476259353,0.17528391347920902,1,3.94,212.516,1.5,114.2334,2.75
2008-02-29,95.56187438964844,95.56187438964844,95.56187438964844,95.56187438964844,1.0,"{'upper': 112.20480295387736, 'middle': 100.67357063293457, 'lower': 89.14233831199178}",,47.8804989002864,100.67357063293457,-0.050774957232061046,-0.08426254049403903,0,41.69270324707031,41.69270324707031,41.69270324707031,41.69270324707031,1.0,"{'upper': 49.694971827396074, 'middle': 42.95045547485351, 'lower': 36.20593912231095}",,53.64978065182607,42.95045547485351,-0.029283792543703835,-0.0809034693133841,0,58.32722091674805,58.32722091674805,58.32722091674805,58.32722091674805,1.0,"{'upper': 57.44267675418459, 'middle': 52.264791107177736, 'lower': 47.08690546017088}",,85.35836835094376,52.264791107177736,0.11599452865196147,0.07997571947203563,1,27.705541610717773,27.705541610717773,27.705541610717773,27.705541610717773,1.0,"{'upper': 38.33731242699359, 'middle': 32.68350877761841, 'lower': 27.02970512824322}",,44.28903492227485,32.68350877761841,-0.15230822372136288,-0.11158686769763337,0,30.046463012695312,30.046463012695312,30.046463012695312,30.046463012695312,1.0,"{'upper': 27.823642043411848, 'middle': 21.97608757019043, 'lower': 16.12853309696901}",,86.21015218874956,21.97608757019043,0.3672344049744316,0.255621222445658,1,2.98,212.571,1.88,113.6597,2.12
2008-03-31,94.70733642578125,94.70733642578125,94.70733642578125,94.70733642578125,1.0,"{'upper': 111.52262015605855, 'middle': 100.97107009887695, 'lower': 90.41952004169535}",,46.633039181880484,100.97107009887695,-0.0620349340356785,-0.08080467451802742,0,41.86738586425781,41.86738586425781,41.86738586425781,41.86738586425781,1.0,"{'upper': 49.33676202220393, 'middle': 43.21109523773193, 'lower': 37.08542845325994}",,54.149268980647534,43.21109523773193,-0.031096397026770806,-0.0685505544110977,0,59.10719299316406,59.10719299316406,59.10719299316406,59.10719299316406,1.0,"{'upper': 58.49606262987481, 'middle': 52.782056617736814, 'lower': 47.06805060559882}",,86.5207364093524,52.782056617736814,0.1198349738668909,0.07794475662833822,1,29.502336502075195,29.502336502075195,29.502336502075195,29.502336502075195,1.0,"{'upper': 38.3645728317037, 'middle': 32.657489681243895, 'lower': 26.950406530784093}",,49.45483945245155,32.657489681243895,-0.09661346325038545,-0.03502047358777882,0,29.77180290222168,29.77180290222168,29.77180290222168,29.77180290222168,1.0,"{'upper': 29.151846764974337, 'middle': 22.439622783660887, 'lower': 15.727398802347437}",,84.19687744022777,22.439622783660887,0.3267514872798851,0.19879117849689987,1,2.61,213.301,1.83,112.1281,1.26
2008-04-30,99.2213134765625,99.2213134765625,99.2213134765625,99.2213134765625,1.0,"{'upper': 110.88941365549746, 'middle': 101.39742240905761, 'lower': 91.90543116261776}",,53.52164426810449,101.39742240905761,-0.021461185903880797,-0.030282813922672736,0,44.14417266845703,44.14417266845703,44.14417266845703,44.14417266845703,1.0,"{'upper': 49.1017800479453, 'middle': 43.53886699676514, 'lower': 37.975953945584976}",,60.17351727536386,43.53886699676514,0.013902650974745523,-0.014133278346237899,0,57.678382873535156,57.678382873535156,57.678382873535156,57.678382873535156,1.0,"{'upper': 59.08388274806726, 'middle': 53.1848840713501, 'lower': 47.285885394632935}",,74.80510795053682,53.1848840713501,0.08448826918860664,0.03851177664618932,1,31.38435935974121,31.38435935974121,31.38435935974121,31.38435935974121,1.0,"{'upper': 38.36441766129862, 'middle': 32.67326698303223, 'lower': 26.982116304765842}",,54.240976279056184,32.67326698303223,-0.039448385249028495,0.030017755340373764,1,31.569599151611328,31.569599151611328,31.569599151611328,31.569599151611328,1.0,"{'upper': 30.706417626748124, 'middle': 23.027136898040773, 'lower': 15.347856169333422}",,86.43062478497299,23.027136898040773,0.370973703391557,0.21869195123745455,1,2.28,213.743,1.48,111.1807,1.29
2008-05-31,100.72119140625,100.72119140625,100.72119140625,100.72119140625,1.0,"{'upper': 110.49345861530026, 'middle': 101.77632560729981, 'lower': 93.05919259929937}",,55.573659630746,101.77632560729981,-0.010367187012832457,-0.013405894507824923,0,44.66826248168945,44.66826248168945,44.66826248168945,44.66826248168945,1.0,"{'upper': 48.77006285090091, 'middle': 43.888672828674316, 'lower': 39.00728280644772}",,61.42976957195689,43.888672828674316,0.017762889665366988,-0.002113016973010806,0,56.65314483642578,56.65314483642578,56.65314483642578,56.65314483642578,1.0,"{'upper': 59.425385978245245, 'middle': 53.50649070739746, 'lower': 47.58759543654968}",,67.71925063173003,53.50649070739746,0.05880883024521144,0.011140932919558866,1,31.318151473999023,31.318151473999023,31.318151473999023,31.318151473999023,1.0,"{'upper': 38.36112894516366, 'middle': 32.65519590377808, 'lower': 26.9492628623925}",,54.047089876087504,32.65519590377808,-0.04094430894608003,0.022548007562769534,1,33.75025177001953,33.75025177001953,33.75025177001953,33.75025177001953,1.0,"{'upper': 32.513111577551385, 'middle': 23.765304183959962, 'lower': 15.017496790368538}",,88.54555438757623,23.765304183959962,0.42014810787899615,0.24299312522464245,1,1.98,215.132,1.4,110.9051,1.73
2008-06-30,92.3033218383789,92.3033218383789,92.3033218383789,92.3033218383789,1.0,"{'upper': 110.93104762773157, 'middle': 101.58755760192871, 'lower': 92.24406757612584}",,43.86772859738275,101.58755760192871,-0.09139146547779131,-0.08507082098687979,0,40.74333953857422,40.74333953857422,40.74333953857422,40.74333953857422,1.0,"{'upper': 48.57194916294284, 'middle': 43.97161426544189, 'lower': 39.37127936794094}",,48.97148404025094,43.97161426544189,-0.07341724384689774,-0.08203825111208507,0,57.30235290527344,57.30235290527344,57.30235290527344,57.30235290527344,1.0,"{'upper': 59.816382609409985, 'middle': 53.847032928466795, 'lower': 47.877683247523606}",,69.67793223777716,53.847032928466795,0.06416918052656428,0.014808191858046493,1,27.993610382080078,27.993610382080078,27.993610382080078,27.993610382080078,1.0,"{'upper': 38.41000034187919, 'middle': 32.37541799545288, 'lower': 26.340835649026566}",,45.29221260769187,32.37541799545288,-0.13534366147761312,-0.07466362355344414,0,37.27093505859375,37.27093505859375,37.27093505859375,37.27093505859375,1.0,"{'upper': 34.94231013344567, 'middle': 24.66999235153198, 'lower': 14.397674569618289}",,90.98781195702475,24.66999235153198,0.5107801626975075,0.2944447044869998,1,2.0,217.403,1.36,111.7251,1.86
