,SPY,EFA,IEF,VNQ,DBC
2006-02-28,88.27838134765625,34.70841979980469,48.86463165283203,27.97295570373535,18.463674545288086
2006-03-31,89.73529815673828,36.098541259765625,48.20105743408203,29.291900634765625,18.978979110717773
2006-04-30,90.86881256103516,37.82784652709961,47.89879608154297,28.29564666748047,20.310836791992188
2006-05-31,88.13176727294922,36.38212203979492,47.84759521484375,27.53230094909668,20.231557846069336
2006-06-30,88.36164093017578,36.35988235473633,47.957481384277344,28.8981876373291,20.057147979736328
2006-07-31,88.7573471069336,36.65459060668945,48.76188278198242,30.02271842956543,20.5010986328125
2006-08-31,90.69426727294922,37.58873748779297,49.62183380126953,31.06881332397461,19.819316864013672
2006-09-30,93.14312744140625,37.67214584350586,50.221012115478516,31.67957305908203,18.986906051635742
2006-10-31,96.07868194580078,39.084510803222656,50.49150848388672,33.589168548583984,19.17717170715332
2006-11-30,97.98926544189453,40.28555679321289,51.15366744995117,35.19513702392578,20.43767738342285
2006-12-31,99.29949188232422,41.57357406616211,50.5011100769043,34.54665756225586,19.963537216186523
2007-01-31,100.79298400878906,42.1527214050293,50.29892349243164,37.579566955566406,19.48434829711914
2007-02-28,98.81568145751953,42.101619720458984,51.332576751708984,36.565608978271484,20.47521209716797
2007-03-31,99.96086883544922,43.32236862182617,51.261714935302734,35.80689239501953,20.613285064697266
2007-04-30,104.3886947631836,44.946250915527344,51.57258987426758,35.761783599853516,20.767601013183594
2007-05-31,107.92959594726562,46.008018493652344,50.8538932800293,35.62641143798828,20.718868255615234
2007-06-30,106.35159301757812,45.86038589477539,50.6160888671875,32.417274475097656,20.873184204101562
2007-07-31,103.02169036865234,44.80997848510742,51.75843811035156,29.73980712890625,21.271156311035156
2007-08-31,104.3437271118164,44.52608871459961,52.92974853515625,31.745607376098633,20.86506462097168
2007-09-30,108.38333129882812,46.89377212524414,52.9764289855957,32.98918533325195,22.83055305480957
2007-10-31,109.85365295410156,48.8867073059082,53.547035217285156,33.681644439697266,24.771678924560547
2007-11-30,105.59884643554688,47.115196228027344,55.71435546875,30.49168586730957,24.61736297607422
2007-12-31,104.40972900390625,45.7105712890625,55.74256896972656,28.841176986694336,26.26776885986328
2008-01-31,98.09696197509766,42.12361145019531,57.613224029541016,28.615921020507812,27.033496856689453
2008-02-29,95.56187438964844,41.69270324707031,58.32722091674805,27.705541610717773,30.046463012695312
2008-03-31,94.70733642578125,41.86738586425781,59.10719299316406,29.502336502075195,29.77180290222168
2008-04-30,99.2213134765625,44.14417266845703,57.678382873535156,31.38435935974121,31.569599151611328
2008-05-31,100.72119140625,44.66826248168945,56.65314483642578,31.318151473999023,33.75025177001953
2008-06-30,92.3033218383789,40.74333953857422,57.30235290527344,27.993610382080078,37.27093505859375
2008-07-31,91.47390747070312,39.39057159423828,57.715248107910156,28.8657169342041,33.62541198730469
2008-08-31,92.88752746582031,37.7173957824707,58.59637451171875,29.550933837890625,31.428104400634766
2008-09-30,84.13999938964844,33.40395736694336,58.51414108276367,29.51438331604004,28.207056045532227
2008-10-31,70.2411880493164,26.444313049316406,58.0091667175293,20.150362014770508,21.132404327392578
2008-11-30,65.3519287109375,24.7592830657959,62.50714874267578,15.572718620300293,18.518943786621094
2008-12-31,65.99214935302734,26.955028533935547,65.73015594482422,18.175058364868164,17.914819717407227
2009-01-31,60.57325744628906,23.253677368164062,63.17510223388672,14.98881721496582,17.12010955810547
2009-02-28,54.06470489501953,20.83817481994629,62.710845947265625,11.912264823913574,16.15631103515625
2009-03-31,58.56887435913086,22.58670425415039,64.78886413574219,12.346044540405273,16.908750534057617
2009-04-30,64.38746643066406,25.18846321105957,63.01026916503906,16.134260177612305,16.891843795776367
2009-05-31,68.15111541748047,28.511280059814453,61.70138931274414,16.556310653686523,19.639514923095703
2009-06-30,68.10649108886719,28.1107234954834,61.35755920410156,16.027009963989258,19.12380027770996
2009-07-31,73.18763732910156,30.933462142944336,61.8679084777832,17.753225326538086,19.478883743286133
2009-08-31,75.89117431640625,32.326416015625,62.340206146240234,20.296056747436523,18.692625045776367
2009-09-30,78.58203887939453,33.553688049316406,63.041080474853516,21.634119033813477,18.650354385375977
2009-10-31,77.07128143310547,32.70687484741211,62.954200744628906,20.668542861938477,19.943870544433594
2009-11-30,81.81938934326172,33.98937225341797,64.2239990234375,22.02556610107422,20.848491668701172
2009-12-31,83.38220977783203,34.23056411743164,61.39643859863281,23.65254783630371,20.814674377441406
2010-01-31,80.35191345214844,32.49674606323242,62.85166549682617,22.346736907958984,19.182979583740234
2010-02-28,82.85847473144531,32.583438873291016,63.06019592285156,23.594392776489258,19.977689743041992
2010-03-31,87.9028549194336,34.66402053833008,62.393741607666016,25.997896194458008,19.88469123840332
2010-04-30,89.26271057128906,33.691837310791016,63.42493438720703,27.856786727905273,20.66249656677246
2010-05-31,82.17037963867188,29.9207820892334,65.28536987304688,26.37073516845703,18.56580924987793
2010-06-30,77.91879272460938,29.3038330078125,67.27542877197266,24.996219635009766,18.23609161376953
2010-07-31,83.24073791503906,32.70612716674805,67.88742065429688,27.39422607421875,19.352066040039062
2010-08-31,79.49651336669922,31.46492576599121,70.1656494140625,27.044736862182617,18.768714904785156
2010-09-30,86.61580657958984,34.60260009765625,70.16352081298828,28.253828048706055,20.383501052856445
2010-10-31,89.9247055053711,35.91941833496094,70.15859985351562,29.59382438659668,21.288118362426758
2010-11-30,89.9247055053711,34.186763763427734,69.52845764160156,29.045896530151367,21.195119857788086
2010-12-31,95.93638610839844,37.02702331542969,67.14299774169922,30.367687225341797,23.291805267333984
2011-01-31,98.17171478271484,37.80292510986328,67.12871551513672,31.354902267456055,24.12033462524414
2011-02-28,101.5819320678711,39.14484786987305,66.98873901367188,32.830223083496094,25.12640380859375
2011-03-31,101.5941390991211,38.20994186401367,66.88522338867188,32.30144119262695,25.794300079345703
2011-04-30,104.53643035888672,40.35958480834961,68.1167221069336,34.15766143798828,26.969459533691406
2011-05-31,103.36415100097656,39.469207763671875,69.823486328125,34.62723159790039,25.574485778808594
2011-06-30,101.62039184570312,38.99132537841797,69.47128295898438,33.48478698730469,24.483871459960938
2011-07-31,99.5875015258789,38.06420135498047,71.67318725585938,34.00851058959961,25.599853515625
2011-08-31,94.11262512207031,34.73171615600586,75.00701141357422,32.09748077392578,25.498395919799805
2011-09-30,87.57926940917969,30.977819442749023,76.68492889404297,28.61749839782715,21.77001953125
2011-10-31,97.13826751708984,33.960182189941406,75.69834899902344,32.70731735229492,23.435527801513672
2011-11-30,96.74354553222656,33.22107696533203,76.13733673095703,31.464059829711914,23.367895126342773
2011-12-31,97.75432586669922,32.498538970947266,77.65062713623047,32.99016571044922,22.691545486450195
2012-01-31,102.28772735595703,34.211063385009766,78.32001495361328,35.0947265625,23.528528213500977
2012-02-29,106.72747802734375,35.864532470703125,77.45860290527344,34.690860748291016,24.788230895996094
2012-03-31,110.1602783203125,36.015445709228516,76.22608184814453,36.494850158691406,24.348602294921875
2012-04-30,109.42489624023438,35.26744079589844,78.1386947631836,37.53837966918945,24.018882751464844
2012-05-31,102.85331726074219,31.33717155456543,80.38093566894531,35.84695053100586,21.338844299316406
2012-06-30,107.02720642089844,33.54434585571289,80.04785919189453,37.82465744018555,21.77001953125
2012-07-31,108.29330444335938,33.571205139160156,81.16947937011719,38.58195495605469,23.03817367553711
2012-08-31,111.00633239746094,34.645484924316406,81.07422637939453,38.576148986816406,24.34014892578125
2012-09-30,113.82040405273438,35.58548355102539,80.79195404052734,37.857425689697266,24.247150421142578
2012-10-31,111.74908447265625,35.97490310668945,80.47200775146484,37.51362228393555,23.300260543823242
2012-11-30,112.38158416748047,36.9753303527832,81.25995635986328,37.41456985473633,23.756797790527344
